ProlificID,Participant,Gender,Age,SpanL1,LangSpoken,Lang_0.5,Lang_6.12,Lang_13.18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country,Word,AssociateNumber,Orig_Response,Response,Response_Class,Relation_Type,Confidence,Comments,List,word_ID,translation,Block
5c28577a70d93a000121208e,sp168,Female,28,Yes,"English, Spanish",Spanish,"Spanish, English","Spanish, English",Yes,high school,4,Yes,No,,alcohol,2,borracho,borracho,adjective,,,,B,r2_sp_b1,alcohol,Span
5bc53f8cee01b70001b0b0c2,sp169,Female,22,Yes,English and Spanish,2,2,2,No,,,Yes,Yes,US and 3/4 of my life,alcohol,2,beber,beber,verb,,,,B,r2_sp_b1,alcohol,Span
5e725dcf29405c19725f071d,sp170,Female,19,Yes,English and Spanish,Spanish,English,English,Yes,High School ,2,Yes,Yes,"The U.S., I live there.",alcohol,2,sangria,sangria,noun,,,,B,r2_sp_b1,alcohol,Span
5ca7f2865b15610012dad220,sp171,Female,28,Yes,"Spanish, English",Spanish,Spanish/English,Spanish/English,Yes,High School,2,No,No,,alcohol,2,tequila,tequila,noun,,,,B,r2_sp_b1,alcohol,Span
5e64d945ec868d24d7b808cd,sp172,Female,29,Yes,Spanish and English,2,2,2,Yes,Elementary to college,4,Yes,No,,alcohol,2,espiritas,espirita,noun,,,spirits?,B,r2_sp_b1,alcohol,Span
5ed03062ab3ebc103e60edea,sp173,Female,22,Yes,2,Spanish/english,Spanish/english,spanish/english,Yes,Highschool and college,15,Yes,Yes,"America, 22 years",alcohol,2,fiesta,fiesta,noun,,,,B,r2_sp_b1,alcohol,Span
5ed9b3f940591e54cabb0c24,sp174,Male,22,Yes,"English, Spanish",Spanish/English,English/Spanish,English/Spanish,Yes,Highschool and College,1 semester every 2 years,Yes,No,,alcohol,2,bars,bar,noun,,,,B,r2_sp_b1,alcohol,Span
60c28e1fd64a69dd5563fa95,sp175,Female,35,Yes,"english, spanish",spanish,"english, spanish","english, spanish",No,,,Yes,No,,alcohol,2,cerveza,cerveza,noun,,,,B,r2_sp_b1,alcohol,Span
5afa9aef33b0ee00011eff91,sp176,Male,27,Yes,"English, Spanish",1,2,2,Yes,elementary school,3,No,Yes,"USA, for life 27 years",alcohol,2,spirit,spirit,noun,,,Eng,B,r2_sp_b1,alcohol,Span
605c1ae33410f8d3c51ee618,sp177,Male,20,Yes,"English, Spanish",,,,No,,,No,No,,alcohol,2,party,party,noun,,,,B,r2_sp_b1,alcohol,Span
545d6768fdf99b7f9fca24e3,sp178,Male,23,Yes,"English , Spanish",Spanish,"English , Spanish","English , Spanish",Yes,Elementary School,18 years,No,Yes,Canada for 3 months,alcohol,2,comer,comer,verb,,,,B,r2_sp_b1,alcohol,Span
5c224f5289f0350001738d48,sp179,Female,29,Yes,"Spanish, English",Spanish,Spanish,Spanish and English,Yes,"elementary school, middle, high school and college",15,Yes,No,,alcohol,2,bar,bar,noun,,,,B,r2_sp_b1,alcohol,Span
5fe3f539dd8cf10e7d545231,sp180,Male,30,Yes,"spanish, english",spanish,spanish/english,spanish/english,No,,,Yes,Yes,"america, born and raised here",alcohol,2,borachar,emborrachar,verb,,,,B,r2_sp_b1,alcohol,Span
5eaf76ae6665cc671414ab73,sp181,Female,33,Yes,english and spanish,spanish,spanish and english,spanish and english,Yes,kindergarten was an ESOL class then I had regular classes,"I guess the one year and then just going to school, everything was in English",No,No,,alcohol,2,vino,vino,noun,,,,B,r2_sp_b1,alcohol,Span
5ff665fca89e1b2184bb1281,sp182,Male,22,Yes,English Spanish Japanese,Spanish,Spanish English,Spanish English Japanese,Yes,elementary school and middle school,2 years,No,Yes,"United States, live there now, 12 years",alcohol,2,trabajo,trabajo,noun,,,,B,r2_sp_b1,alcohol,Span
5efbea54f909111ac14c044e,sp183,Female,18,Yes,spanish and english ,spanish,spanish,spanish ,Yes,elementary school,3 years,No,Yes,America since I was 3 and I currently live here,alcohol,2,drunk ,drunk,adjective,,,,B,r2_sp_b1,alcohol,Span
5e581dfc64a1e402645e74f6,sp184,Male,25,Yes,"English, Spanish","English, Spanish","English, Spanish","English, Spanish",No,,,Yes,No,,alcohol,2,Beber,beber,verb,,,,B,r2_sp_b1,alcohol,Span
5ee3fbb98976fc0f59fe2939,sp185,Male,21,Yes,English and Spanish,Spanish,Spanish,Spanish,Yes,"Elementary, Middle and High School",Every year of school,No,No,,alcohol,2,borracho,borracho,adjective,,,,B,r2_sp_b1,alcohol,Span
5eefcc4bf64ab12846a5e671,sp186,Male,22,Yes,"english, spanish",spanish,"spanish, english","spanish, english",Yes,elementary school ,15 years,No,No,,alcohol,2,borracho,borracho,adjective,,,,B,r2_sp_b1,alcohol,Span
5e833f5f1c2101060233d313,sp187,Female,35,Yes,English/ Spanish,English/Spanish,English/Spanish,English/Spanish,Yes,"High school,  college",15,Yes,Yes,America,alcohol,2,Vodka ,vodka,noun,,,,B,r2_sp_b1,alcohol,Span
5cc8f511f24f6c001c1692a9,sp188,Male,30,Yes,"English, Spanish",Spanish,Spanish and english,Spanish and english,No,,,Yes,No,,alcohol,2,Borracho,borracho,adjective,,,,B,r2_sp_b1,alcohol,Span
60becfb7c9d39699c7d43b2a,sp189,Female,24,Yes,"Spanish, English, Portuguese",Spanish,Spanish,Spanish,Yes,Elementary and middle school,8 years,Yes,No,,alcohol,2,Bailar,bailar,verb,,,,B,r2_sp_b1,alcohol,Span
5f12c0fb473aec0cea5fdb8c,sp190,Female,19,Yes,"Spanish, English",Spanish,english/Spanish,English/Spanish,No,,,No,No,,alcohol,2,cerveza,cerveza,noun,,,,B,r2_sp_b1,alcohol,Span
5e97ed55c890682bed3efa6a,sp191,Female,19,Yes,english and spanish,spanish,english and spanish,english and spanish,Yes,High school and college,"Umm, around 2 years",Yes,Yes,"United States, for 3 months",alcohol,2,cerveza,cerveza,noun,,,,B,r2_sp_b1,alcohol,Span
60b6f703f8bf5e53eac7ea44,sp192,Female,26,Yes,English and Spanish,1,2,2,Yes,preschool,12,Yes,Yes,United States,alcohol,2,alcholico,alcoholico,adjective,,,,B,r2_sp_b1,alcohol,Span
5f5134ae05affe3321461176,sp193,Male,25,Yes,"Spanish, English",Spanish,Spanish,Spanish,Yes,Starting in primary school and every year until graduating high school.,about 15 years,Yes,Yes,"I live in the USA, have lived here my whole life (25 years)",alcohol,2,amigos,amigo,noun,,,,B,r2_sp_b1,alcohol,Span
5ed7457782922d1b68720ba5,sp194,Female,24,Yes,English and Spanish ,spanish ,English and Spanish ,English and Spanish ,No,,,No,Yes,USA 22years ,alcohol,2,vodka ,vodka,noun,,,,B,r2_sp_b1,alcohol,Span
5f5bf7133817c03d6ec9ef04,sp195,Female,23,Yes,English and Spanish,"English, Spanish","English, Spanish","English, Spanish",Yes,elementary,1 year,No,No,,alcohol,2,licor,licor,noun,,,,B,r2_sp_b1,alcohol,Span
