"","source","target","weight"
"716","campeonato","jugador",5
"717","campeonato","jugar",2
"718","campeonato","medalla",2
"719","campeonato","mejor",1
"720","campeonato","mundial",2
"721","campeonato","oro",2
"722","campeonato","partido",1
"723","campeonato","pelota",3
"724","campeonato","perdedor",1
"725","campeonato","queen",1
"726","campeonato","real madrid",1
"727","campeonato","rival",1
"728","campeonato","tiburones de veracruz",1
"729","campeonato","tiitulo",1
"730","campeonato","torneo",6
"731","campeonato","trofeo",8
"732","campeonato","valor",1
"733","carne","animal",8
"734","carne","arroz",2
"735","carne","asado",11
"736","carne","asador",1
"737","carne","asar",2
"738","carne","barbacoa",2
"739","carne","bistec",2
"740","carne","buche",1
"741","carne","cabeza",1
"742","carne","carboon",1
"743","carne","cena",1
"744","carne","cocina",2
"745","carne","cocinar",5
"746","carne","comer",7
"747","carne","comida",14
"748","carne","condimento",2
"749","carne","cuchillo",3
"750","carne","delicioso",3
"751","carne","enchilada",1
"752","carne","fiesta",2
"753","carne","grande",1
"754","carne","grasa",1
"755","carne","guacamole",1
"756","carne","hambre",3
"757","carne","horneado",1
"758","carne","hueso",1
"759","carne","jamoon",1
"760","carne","nopal",1
"761","carne","pavo",1
"762","carne","pescado",1
"763","carne","platillo",1
"764","carne","pollo",11
"765","carne","puerco",5
"766","carne","pulpa",1
"767","carne","res",8
"768","carne","rico",4
"769","carne","rojo",4
"770","carne","sabor",2
"771","carne","sangre",2
"772","carne","sazoon",1
"773","carne","sustancia",1
"774","carne","taco",2
"775","carne","tierno",1
"776","carne","vaca",9
"777","carne","venado",1
"778","carne","verdura",1
"779","caro","accidente",1
"780","caro","alcanzar",1
"781","caro","asiento",1
"782","caro","banco",1
"783","caro","barato",1
"784","caro","bonito",1
"785","caro","camino",1
"786","caro","carero",1
"787","caro","carretera",1
"788","caro","carro",3
"789","caro","casa",3
"790","caro","cena",1
"791","caro","chofer",1
"792","caro","comida",2
"793","caro","comprar",3
"794","caro","conductor",2
"795","caro","costoso",5
"796","caro","creedito",1
"797","caro","cupoon",1
"798","caro","demasiado",2
"799","caro","deportivo",1
"800","caro","destino",2
"801","caro","difiicil",1
"802","caro","diligencia",1
"803","caro","dinero",19
"804","caro","direccioon",1
"805","caro","econoomico",1
"806","caro","electroonico",1
"807","caro","estilo",1
"808","caro","fino",2
"809","caro","gasolina",5
"810","caro","goma",1
"811","caro","grande",1
"812","caro","inversioon",1
"813","caro","joya",1
"814","caro","joyeriia",1
"815","caro","libre",1
"816","caro","llanta",2
"817","caro","lugar",1
"818","caro","lujo",4
"819","caro","lujoso",1
"820","caro","mall",1
"821","caro","manejar",4
"822","caro","maquillaje",1
"823","caro","marca",1
"824","caro","medicina",1
"825","caro","metal",1
"826","caro","mucho",7
"827","caro","nissan",1
"828","caro","oro",3
"829","caro","pasajero",1
"830","caro","plata",1
"831","caro","prestigio",2
"832","caro","raapido",2
"833","caro","radio",1
"834","caro","rebaja",1
"835","caro","renta",1
"836","caro","rico",4
"837","caro","rojo",2
"838","caro","ropa",4
"839","caro","rueda",1
"840","caro","socioeconoomico",1
"841","caro","tienda",3
"842","caro","toyota",1
"843","caro","vacacioon",1
"844","caro","valor",1
"845","caro","velocidad",1
"846","caro","viajar",2
"847","caro","viaje",1
"848","caro","volante",2
"849","caro","zapato",1
"850","cerveza","aambar",1
"851","cerveza","agua",1
"852","cerveza","alcohol",17
"853","cerveza","ale",1
"854","cerveza","amargo",1
"855","cerveza","amigo",2
"856","cerveza","asqueroso",1
"857","cerveza","bar",2
"858","cerveza","barre",1
"859","cerveza","beber",3
"860","cerveza","bebida",8
"861","cerveza","borracho",14
"862","cerveza","burbuja",1
"863","cerveza","caguama",1
"864","cerveza","canna",1
"865","cerveza","cena",1
"866","cerveza","chela",2
"867","cerveza","cigarro",1
"868","cerveza","clamato",1
"869","cerveza","claro",1
"870","cerveza","comida",2
"871","cerveza","corona",3
"872","cerveza","dos equis",2
"873","cerveza","ebrio",2
"874","cerveza","enfermo",1
"875","cerveza","espumoso",1
"876","cerveza","fiesta",14
"877","cerveza","friio",6
"878","cerveza","fuerte",1
"879","cerveza","heineken",1
"880","cerveza","helado",1
"881","cerveza","hielo",1
"882","cerveza","hiigado",1
"883","cerveza","hombre",1
"884","cerveza","lata",1
"885","cerveza","leche",1
"886","cerveza","licor",2
"887","cerveza","limoon",2
"888","cerveza","lleno",1
